Name,Model,Gamma,Objective Value,Selection Size,Execution Time (s),Execution Time,Chosen Nodes
as20000102_MOST,LT,0.02,6151.00,2,90.11,0d 00:01:30.111,381 2218
Brightkite_edges_MOST,LT,0.02,15521.00,3,8307.84,0d 02:18:27.842,7 651 853
CA-HepTh_MOST,LT,0.02,1796.00,1,0.94,0d 00:00:00.942,19660
p2p-Gnutella04_MOST,LT,0.02,8152.00,1,0.77,0d 00:00:00.768,1890
soc-sign-bitcoinotc_MOST,LT,0.02,4411.00,2,216.12,0d 00:03:36.115,1566 2647
web-Stanford_MOST,LT,0.02,10526.00,1,525.71,0d 00:08:45.707,135807
as20000102_MOST,LT,0.10,5678.00,13,15664.68,0d 04:21:04.679,438 1108 1112 1418 1558 579 901 856 868 381 900 2610 2218
Brightkite_edges_MOST,LT,0.10,14239.00,20,18735.04,0d 05:12:15.038,7 12 29 212 250 262 279 281 291 638 651 1017 305 1531 2823 2929 3596 6923 9577 10608
CA-HepTh_MOST,LT,0.10,1813.00,3,641.89,0d 00:10:41.885,35725 26913 25569
p2p-Gnutella04_MOST,LT,0.10,8707.00,2,2384.78,0d 00:39:44.780,1890 3678
soc-sign-bitcoinotc_MOST,LT,0.10,4160.00,11,15951.33,0d 04:25:51.333,57 60 468 937 1281 1512 1566 2110 2647 2877 4694
web-Stanford_MOST,LT,0.10,9751.00,23,18611.03,0d 05:10:11.029,229011 180771 33367 38956 46748 54445 76113 82281 82996 102755 137131 149947 157295 205511 219887 233156 250197 264290 265060 266873 270885 273268 221448
as20000102_MOST,IC,0.02,764.62,6,1027.90,0d 00:17:07.902,20 52 62 438 1112 1418
Brightkite_edges_MOST,IC,0.02,12323.61,30,19026.95,0d 05:17:06.952,1 7 149 164 212 241 250 262 375 646 651 1013 1304 1331 1386 1875 1876 1898 1955 2180 2822 2836 2868 2881 2915 2953 2966 6923 8946 9577
CA-HepTh_MOST,IC,0.02,930.67,5,7447.52,0d 02:04:07.517,44934 54785 27587 39085 26122
p2p-Gnutella04_MOST,IC,0.02,275.58,7,18021.08,0d 05:00:21.076,756 89 118 127 961 1356 1890
soc-sign-bitcoinotc_MOST,IC,0.02,1247.29,4,3922.34,0d 01:05:22.337,304 1566 2635 3018
web-Stanford_MOST,IC,0.02,3537.36,14,18653.48,0d 05:10:53.482,6548 47149 195916 247486 137683 143261 168703 180771 38956 76113 102755 219887 233156 250197
as20000102_MOST,IC,0.10,696.04,35,18014.54,0d 05:00:14.541,10 15 16 18 19 20 38 52 56 59 62 67 76 131 180 438 600 631 1108 1112 1121 1196 1418 1558 901 902 856 868 892 381 2194 2610 2181 995 2491
Brightkite_edges_MOST,IC,0.10,11315.66,193,20336.14,0d 05:38:56.141,1 7 13 17 20 29 45 50 67 69 75 80 83 115 147 149 150 157 158 164 167 182 208 212 215 235 237 241 250 262 263 280 281 282 298 317 344 349 375 424 626 630 636 638 646 651 652 654 658 673 679 686 730 736 760 773 853 915 948 659 1013 1017 1029 1075 433 1138 1158 1304 1307 1331 1386 305 415 1497 1505 1531 1542 1552 1578 1632 427 1771 1786 621 740 1870 1875 1876 1880 1883 1895 1898 1906 1912 1936 1955 1999 2038 2090 2133 2163 2168 2180 2261 2262 2453 2664 2669 629 1073 2806 2816 2821 2822 2823 2825 2834 2836 2840 2842 2847 2862 2868 2874 2881 2892 2893 2902 2915 2919 2929 2953 2954 2966 2975 3080 3109 3154 3173 3309 3596 4545 4612 4629 4841 5016 5025 5331 5415 5488 444 5681 6921 6923 8308 8440 7155 8467 8946 9109 9577 6614 6902 10333 10342 10344 10348 10349 10359 10361 10375 10380 10393 10395 6934 10373 10605 10608 10610 10612 10620 10621 10632 10650 10661 10665 10717 10729 10963 13932 14294 13599 13142
CA-HepTh_MOST,IC,0.10,844.13,27,18021.73,0d 05:00:21.726,14823 18956 19660 37616 37932 44934 34071 65086 554 24295 40894 57738 39723 54519 54785 26913 34926 27587 18844 45319 66017 37780 63786 39085 14176 26122 43686
p2p-Gnutella04_MOST,IC,0.10,252.26,76,18057.36,0d 05:00:57.362,1 2 4 9 11 16 756 4524 81 58 109 89 90 92 94 118 120 121 124 162 127 128 129 130 131 132 133 147 148 165 166 167 168 170 171 176 180 198 200 187 189 190 220 213 237 238 239 750 3297 408 2619 2952 244 292 266 267 270 273 261 262 263 781 1356 1890 2283 2661 2927 3215 3368 3643 9774 4611 7595 5622 5686 10404
soc-sign-bitcoinotc_MOST,IC,0.10,1140.77,28,18026.20,0d 05:00:26.204,2 60 104 304 353 468 361 1162 1201 1363 1383 1566 1744 1771 1802 2110 2635 2647 2835 3018 3719 3897 3916 4611 4635 4649 4694 4833
